,predict data,true data
584,9770.718,9010.32
585,9602.156,8928.55
586,9496.33,9334.281667
587,9323.936,9259.57
588,9281.157,9239.55
589,9279.915,9221.426
590,9452.45,9639.268333
591,9673.318,9753.35
592,9837.922,9803.306667
593,9967.63,9630.136277
594,10003.365,9631.44
595,10072.641,9228.608333
596,9882.552,9322.041667
597,9640.716,9310.37
598,9431.267,8468.788
599,9182.312,8484.346667
600,8860.783,8463.52
601,8606.268,8652.038333
602,8499.45,8511.458
603,8537.59,8471.06
604,8563.419,8106.118332999999
605,8569.983,8240.055
606,8555.856,8239.08
607,8376.571,8507.406667
608,8401.577,8385.556187
609,8480.135,8396.63
610,8615.442,7555.74
611,8449.194,7566.193333
612,8135.517,7576.78
613,7749.621,7342.908332999999
614,7488.654,7361.831667
615,7326.9614,7344.56
616,7336.3975,7459.876667
617,7429.98,7385.395
618,7580.083,7386.72
619,7547.733,7535.146667
620,7617.601,7645.146667
621,7735.5933,7637.14
622,7792.38,7500.273333
623,7818.961,7615.7221420000005
624,7811.95,7619.43
625,7828.0776,7676.271667
626,7815.7305,7620.153333
627,7803.6997,7615.54
628,7819.7295,6776.888333
629,7613.9272,6875.678333
630,7291.196,6879.31
631,6980.4126,6315.7
632,6681.34,6647.013333
633,6507.395,6637.41
634,6505.72,6509.426667
635,6576.931,6464.411667
636,6674.9907,6445.79
637,6596.746,6737.0
638,6686.7505,6714.718333
639,6821.386,6760.83
640,6819.1953,6332.573333
641,6844.966,6141.605833
642,6675.6304,6170.46
643,6430.5034,6211.4475
644,6247.677,6218.595
645,6162.0874,6097.46
646,6194.676,6107.896154
647,6230.3,5908.7025
648,6239.726,6223.28
649,6210.6543,6374.754167
650,6271.2246,6466.069167000001
651,6434.279,6626.44
652,6648.784,6593.289167
653,6821.0137,6603.376667
654,6877.884,6555.51
655,6868.815,6594.281667
656,6748.3125,6753.559167
657,6789.9736,6724.04
658,6835.7993,6510.791667
659,6821.7188,6377.363333
660,6753.3945,6403.18
661,6628.1724,6244.3575
662,6489.6724,6241.0
663,6360.289,6248.84
664,6298.6855,6514.3908329999995
665,6395.7925,6869.910833
666,6645.1963,7321.62
667,7021.885,7396.401667
668,7410.3623,7428.045
669,7721.3164,7334.99
670,7779.6953,7451.289167
671,7741.1543,7689.884167
672,7692.766,7715.1
673,7742.7217,8251.165
674,7975.47,8187.324167
675,8300.184,7939.81
676,8426.723,8182.251667
677,8463.885,8206.341667
678,8414.467,8220.91
679,8393.314,7916.800833
680,8327.798,7570.869167
681,8084.9297,7607.7
682,7936.4785,7394.499167
683,7695.3975,7247.769167
684,7423.1504,7011.28
685,7241.2334,6988.079167
686,7101.727,6993.513333
687,7052.9907,6718.23
688,6962.3203,6396.7725
689,6762.0356,6396.494667
690,6598.7446,6138.96
691,6392.529,6311.131667000001
692,6273.0312,6347.07
693,6247.4634,6252.13
694,6305.169,6362.676923
695,6427.6094,6342.629231
696,6506.755,6312.75
697,6508.6313,6436.720832999999
698,6555.0957,6404.063333
699,6529.6787,6486.58
700,6597.0522,6401.2461539999995
701,6626.306,6575.229167
702,6642.0938,6354.57
703,6651.061,6543.645714
704,6647.1494,6719.429231
705,6697.0825,6738.27
706,6817.8643,6719.266154000001
707,6895.1685,7000.04
708,7031.53,7078.19
709,7146.0396,6932.6625
710,7255.3794,6981.946154
711,7201.849,7018.78
712,7209.049,7247.935385
713,7276.9814,7260.9492310000005
714,7346.2676,7265.08
715,7396.224,7113.069231
716,7457.567,6433.271667
717,7256.2383,6501.19
718,6896.8516,6366.1075
719,6570.1143,6286.425833
720,6320.7383,6240.98
721,6219.908,6296.320833
722,6228.589,6273.1375
723,6321.442,6326.04
724,6439.4536,6499.0625
725,6476.8896,6518.655
726,6614.747,6522.39
727,6698.6704,6400.6008329999995
728,6706.0996,6296.631667000001
729,6627.6035,6342.39
730,6544.6724,6418.562667
731,6480.5493,6669.990833
732,6540.6816,6756.12
733,6723.489,6710.445
734,6885.8574,6639.304167
735,6970.7046,6583.45
736,6928.521,6468.631667000001
737,6790.4907,6535.476667
738,6675.0625,6686.08
739,6644.8203,6550.474167
740,6693.145,6593.135
741,6744.6777,6611.02
742,6778.2734,6562.641667
743,6779.9097,6470.4025
744,6735.5625,6483.73
745,6654.191,6568.549167
746,6638.5415,6581.486667
747,6688.712,6573.62
748,6701.3667,6618.5676920000005
749,6750.439,6621.7116670000005
750,6796.4575,6626.85
751,6815.331,6248.635833
752,6701.311,6260.530833
753,6543.0024,6247.0
754,6410.9253,6299.3991670000005
755,6335.0493,6452.571667
756,6365.1855,6599.17
757,6516.1387,6596.276154
758,6699.2534,6568.040769
759,6844.5283,6509.61
760,6804.8867,6488.825833
761,6755.5083,6531.601667
762,6686.198,6504.78
763,6635.987,6481.4259999999995
764,6625.2207,6508.31
765,6646.74,6489.77
766,6655.154,6473.753333
767,6653.093,6465.9175
768,6635.265,6457.21
769,6617.7534,6382.668333
770,6597.5723,6309.452857
771,6540.5557,6301.61
772,6476.11,6342.280833
773,6448.394,6387.674167
774,6456.5845,6390.42
775,6492.181,6391.873333
776,6536.662,6436.965
777,6585.314,6437.76
778,6609.028,6538.79
779,6635.644,6486.251667
780,6657.9424,6444.97
781,6662.11,6399.033332999999
782,6637.4185,6378.268333
783,6585.2246,6408.53
784,6541.085,6372.063333
785,6518.02,6176.155
786,6450.322,5756.77
787,6279.8135,5596.1925
788,5996.0884,5558.243332999999
789,5720.11,5572.44
790,5536.718,5303.9425
791,5405.722,4671.97
792,5175.657,4491.98
793,4860.517,4548.7975
794,4578.0557,4309.3375
795,4319.2046,4352.98
796,4183.221,3823.511667
797,4043.9421,3920.5366670000003
798,3951.9175,3793.35
799,3872.0208,4103.453846
800,3847.5679,4263.783332999999
801,3977.6445,4278.77
802,4219.3105,4116.7775
803,4358.4126,4167.5466670000005
804,4451.9463,4140.6
805,4324.8726,3961.493333
806,4229.7866,3858.3491670000003
807,4033.103,3744.98
808,3916.265,3405.643333
809,3728.61,3435.34
810,3537.9285,3453.66
811,3392.8,3523.96
812,3380.993,3426.19
813,3427.958,3407.28
814,3469.465,3406.7625
815,3504.7375,3278.3741670000004
816,3489.0103,3242.42
817,3375.2107,3271.238333
818,3316.7373,3392.405
819,3324.5332,3556.54
820,3438.3623,3808.0425
821,3626.9417,3982.850833
822,3882.5745,4135.19
823,4144.9624,3910.973333
824,4223.948,4027.478333
825,4212.649,3995.17
826,4151.146,3813.88
827,4047.1602,3825.379167
828,3938.7424,3848.21
829,3887.8809,3743.905
830,3850.2427,3912.285833
831,3887.1982,3770.36
832,3866.7605,3791.5458329999997
833,3896.5176,3752.271667
834,3897.7722,3855.88
835,3879.6572,3865.7975
836,3907.0867,3822.626667
837,3935.9233,3856.62
838,3931.4583,3920.4566670000004
839,3996.2468,4036.093333
840,4033.5513,4032.25
841,4100.1646,4034.138333
842,4135.2017,3812.5858329999996
843,4120.7905,3646.25
844,3991.5886,3646.345833
845,3814.9368,3599.841667
846,3669.6843,3531.96
847,3569.7075,3656.785
848,3570.914,3621.270833
849,3621.2036,3621.43
850,3697.373,3632.395
851,3728.9016,3690.5233329999996
852,3744.0789,3703.98
853,3781.3674,3548.4275
854,3759.1519,3540.02
855,3688.6577,3587.35
856,3666.307,3566.4
857,3633.3489,3586.25
858,3626.1067,3577.79
859,3636.075,3576.3
860,3664.7473,3554.5
861,3683.0308,3448.58
862,3624.509,3421.6
863,3558.6433,3470.0
864,3522.5251,3444.81
865,3496.9849,3475.33
866,3506.135,3506.22
867,3537.88,3456.02
868,3566.9846,3452.35
869,3578.028,3467.34
870,3558.086,3405.7
871,3527.409,3394.76
872,3504.315,3661.08
873,3542.3982,3664.38
874,3640.7515,3686.29
875,3751.0361,3629.47
876,3799.3328,3632.42
877,3805.028,3614.5
878,3777.8867,3600.31
879,3709.7112,3608.2
880,3651.5066,3619.55
881,3682.885,3670.74
882,3704.9126,3910.8
883,3807.2808,3926.53
884,3926.965,3987.18
885,4052.1016,3944.88
886,4120.5454,3983.48
887,4138.616,4139.6
888,4164.1167,3766.89
889,4093.0715,3848.33
890,3991.7441,3831.45
891,3945.097,3833.23
892,3889.882,3850.08
893,3881.921,3834.62
894,3881.5342,3831.44
895,3907.2158,3814.58
896,3962.7957,3730.98
897,3883.6409,3872.25
898,3889.8042,3876.85
899,3910.431,3886.82
900,3947.6177,3875.96
901,3983.4272,3950.56
902,4018.3572,3928.17
903,4044.515,3881.09
904,4038.275,3892.51
905,3993.9849,3877.77
